Date,Time,Activity,Confidence,Activity
11/25/2017,1:02 AM,Still,0.46,0
11/25/2017,1:02 AM,Still,0.55,0
11/25/2017,1:02 AM,Still,0.7,0
11/25/2017,1:05 AM,Tilting,1,1
11/25/2017,1:06 AM,Still,0.73,0
11/25/2017,1:09 AM,Still,1,0
11/25/2017,1:12 AM,Tilting,1,1
11/25/2017,1:12 AM,Still,1,0
11/25/2017,1:14 AM,Still,1,0
11/25/2017,1:15 PM,Tilting,1,1
11/25/2017,1:16 PM,Still,0.49,0
11/25/2017,1:17 PM,Still,0.82,0
11/25/2017,1:17 PM,Still,1,0
11/25/2017,1:17 PM,Still,1,0
11/25/2017,1:17 PM,Still,0.45,0
11/25/2017,1:17 PM,Still,1,0
11/25/2017,1:17 PM,Still,0.48,0
11/25/2017,1:17 PM,Still,1,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,0.52,0
11/25/2017,1:18 PM,Still,0.58,0
11/25/2017,1:18 PM,Still,0.55,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,1,0
11/25/2017,1:18 PM,Still,0.45,0
11/25/2017,1:18 PM,Tilting,1,1
11/25/2017,1:18 PM,Still,0.73,0
11/25/2017,1:18 PM,Still,0.76,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,0.58,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:19 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,0.79,0
11/25/2017,1:20 PM,Tilting,1,1
11/25/2017,1:20 PM,Still,0.54,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:20 PM,Still,0.8,0
11/25/2017,1:20 PM,Still,0.81,0
11/25/2017,1:20 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,0.88,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,0.86,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:21 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,0.88,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:22 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,0.53,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,0.87,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:23 PM,Still,0.82,0
11/25/2017,1:23 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,0.48,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,0.82,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,0.91,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:24 PM,Still,1,0
11/25/2017,1:25 PM,Tilting,1,1
11/25/2017,1:25 PM,Still,0.46,0
11/25/2017,1:25 PM,Still,1,0
11/25/2017,1:25 PM,Still,1,0
11/25/2017,1:25 PM,Still,1,0
11/25/2017,1:26 PM,Tilting,1,1
11/25/2017,1:27 PM,On foot,0.46,4
11/25/2017,1:27 PM,Walking,0.46,5
11/25/2017,1:28 PM,Still,0.71,0
11/25/2017,1:28 PM,Still,0.43,0
11/25/2017,1:28 PM,Still,1,0
11/25/2017,1:28 PM,Still,0.93,0
11/25/2017,1:30 PM,Tilting,1,1
11/25/2017,1:30 PM,Still,0.56,0
11/25/2017,1:30 PM,Still,1,0
11/25/2017,1:30 PM,Still,0.6,0
11/25/2017,1:30 PM,Still,0.54,0
11/25/2017,1:30 PM,Still,0.71,0
11/25/2017,1:30 PM,Still,0.68,0
11/25/2017,1:31 PM,Tilting,1,1
11/25/2017,1:31 PM,Still,0.69,0
11/25/2017,1:31 PM,Still,0.72,0
11/25/2017,1:32 PM,Still,0.48,0
11/25/2017,1:33 PM,Tilting,1,1
11/25/2017,1:33 PM,Tilting,1,1
11/25/2017,1:34 PM,Tilting,1,1
