Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Lable
-0.944,9.703,-0.384,-0.15473938,0.19325256,-0.38038635,31.75,-25.5625,10.25,upstairs
1.854,6.769,6.21,-0.97724915,0.6001587,0.5260773,17.9375,-34.875,-13.3125,upstairs
1.452,9.148,4.257,0.64868164,-0.19688416,-0.3396454,19.5625,-36.25,-6.4375,upstairs
2.204,9.957,-0.097,0.15907288,-0.12663269,0.40348816,18.9375,-35.625,11.1875,upstairs
-0.633,8.526,1.271,-0.6047516,-0.14372253,-0.24996948,30.375,-35.0625,3.8125,upstairs
0.859,7.013,7.344,0.16087341,0.059173584,0.18484497,19.9375,-40.125,-19.8125,upstairs
0.596,9.856,0.84,0.7502594,-0.18197632,-0.37097168,25.375,-44.5625,-0.75,upstairs
0.271,12.383,-1.504,0.20437622,0.033813477,-0.31459045,27.375,-43.875,9.9375,upstairs
2.185,6.31,6.1,-0.96720886,0.5266876,0.47210693,9.8125,-49.4375,-21.9375,upstairs
3.501,8.923,3.631,0.6844177,-0.8302765,-0.55937195,10.125,-54.5625,-14.6875,upstairs
2.343,9.263,-0.637,0.08630371,-0.14021301,-0.074035645,20.9375,-55.1875,5.6875,upstairs
2.682,8.851,3.784,-1.0066223,-0.5992584,0.18338013,21.6875,-51.5625,-21.9375,upstairs
2.28,8.272,7.651,0.042266846,-0.023284912,0.19104004,15.1875,-49.875,-34,upstairs
10.933,7.856,0.314,0.19372559,-0.11880493,1.1700745,5.1875,-57.5,-17.5,upstairs
4.64,8.684,1.338,-0.40815735,-0.6769104,0.007919312,-16.125,-48.875,-31.875,upstairs
2.28,9.564,0.237,0.46446228,0.4217987,-0.4583435,-25.4375,-30.125,-22.6875,upstairs
0.792,12.613,-2.676,0.31581116,0.2925415,-0.11439514,-26.8125,-33.9375,-16,upstairs
1.189,6.047,6.545,-1.2963562,0.9921875,0.6804657,0.4375,1.5625,-48,upstairs
1.381,8.894,0.414,1.1290588,-0.67152405,-0.37277222,-9.1875,-20.3125,-38.875,upstairs
2.601,10.33,-1.197,0.04573059,0.25100708,-0.049453735,-9.5,-30,-30.25,upstairs
0.691,5.051,6.918,-1.2611542,1.0086517,0.4337921,5.75,6.0625,-45.75,upstairs
1.615,8.2,1.817,0.98010254,-0.86953735,-0.30737305,-8.8125,-14.3125,-41.1875,upstairs
1.95,9.564,-1.37,0.071762085,0.06488037,-0.11054993,-11.4375,-28.5,-29.25,upstairs
1.247,5.157,6.679,-1.3623505,0.83540344,0.4873352,2.9375,8.5,-46.8125,upstairs
1.821,8.645,1.798,1.0706635,-0.8665161,-0.23823547,-9.375,-12.75,-42.125,upstairs
1.964,9.875,-1.25,0.13696289,-0.09970093,-0.08125305,-12.0625,-30.5625,-28.375,upstairs
0.84,5.989,6.133,-1.2042389,0.70684814,0.57759094,0.8125,-0.5625,-48.5,upstairs
1.84,8.497,1.831,1.0247803,-0.43847656,-0.09379578,-1.125,-19.25,-43.5,upstairs
2.462,9.559,-0.992,0.25299072,0.44599915,0.15335083,-0.1875,-36.6875,-29.875,upstairs
0.773,7.052,5.798,-1.1083374,0.6338501,0.561676,23.5,-14.3125,-41.8125,upstairs
2.079,9.095,2.798,1.0179138,-0.58810425,-0.123703,26.125,-32.8125,-22,upstairs
0.52,11.488,-1.528,0.16296387,-0.001831055,-0.4222107,30.9375,-32,5.4375,upstairs
1.285,5.827,6.167,-1.2194824,1.1266632,0.9399719,20,-34.4375,-13.8125,upstairs
0.983,9.622,0.644,0.7225952,-0.18553162,-0.27037048,22.3125,-33.8125,3.3125,upstairs
0.324,9.339,0.51,-0.68569946,0.21356201,0.072143555,25.875,-32.875,7.4375,upstairs
1.237,6.793,6.32,-0.25846863,0.18910217,0.4868927,12.0625,-37.875,-16,upstairs
1.385,9.157,-0.432,0.82795715,-0.014541626,-0.152771,19.1875,-41.9375,6.25,upstairs
0.109,9.813,0.056,-0.5075836,0.41171265,-0.21733093,26.3125,-39.5,12.0625,upstairs
1.768,6.717,7.196,0.06820679,0.109298706,0.12319946,14.75,-45.3125,-18.4375,upstairs
2.017,9.311,-0.46,0.63809204,-0.09399414,-0.05381775,21.0625,-48.9375,8.9375,upstairs
0.324,9.607,1.434,-0.33042908,0.001724243,-0.08659363,28.875,-48.375,6.625,upstairs
1.931,8.057,6.971,-0.009689331,0.24085999,0.32489014,14.3125,-48.1875,-25.8125,upstairs
2.381,8.66,-0.25,0.81259155,-0.23478699,-0.21330261,14.5,-58.1875,-0.9375,upstairs
1.041,9.521,0.147,-0.21240234,0.08282471,-0.62867737,24.6875,-55.8125,1.5625,upstairs
4.137,8.765,2.2,-0.37449646,-0.643631,-0.46427917,-6.75,-52.6875,-27.9375,upstairs
1.294,9.248,0.86,-0.28753662,-0.9595642,-0.75320435,-13.875,-51.25,-27.3125,upstairs
1.361,9.411,2.19,-0.27516174,-0.7106018,-0.35005188,-15.0625,-47.75,-35,upstairs
0.051,9.842,-0.346,0.17294312,0.2353363,-0.98402405,-28.9375,-36.75,-2.375,upstairs
-0.131,5.573,6.086,-1.2589417,1.2302704,1.046402,-16.8125,-3.625,-44.9375,upstairs
-0.006,9.047,0.276,1.084259,-0.34127808,-0.2263031,-13.8125,-26.75,-35.3125,upstairs
0.247,10.521,0.941,-0.116104126,-0.04043579,-0.37693787,-9.0625,-33.0625,-30.5625,upstairs
-0.427,5.334,7.316,-1.1155396,0.52012634,0.50527954,11.5,8.875,-40.875,upstairs
0.806,9.612,0.252,0.89042664,0.01739502,0.14196777,-4.125,-27.625,-31.0625,upstairs
-0.442,10.282,0.711,0.003936768,-0.13668823,-0.41770935,-0.4375,-32.875,-27.6875,upstairs
0.601,6.674,7.048,-0.002609253,0.22279358,0.22485352,7,2.4375,-42.375,upstairs
0.491,8.808,0.601,1.025116,-0.40151978,-0.1410675,0.125,-20.625,-36.125,upstairs
-0.155,9.612,0.807,0.16885376,-0.26965332,-0.62083435,3,-32,-28.6875,upstairs
1.127,7.243,7.99,0.21638489,0.14884949,0.051635742,5.125,0.4375,-43.9375,upstairs
-0.375,9.492,0.836,0.7601929,-0.40023804,-0.32929993,0.8125,-28.375,-34.6875,upstairs
1.653,9.909,-0.886,0.16334534,-0.04815674,-0.27093506,-0.75,-36.75,-26.25,upstairs
-0.528,8.172,4.688,-1.4502106,0.17738342,-0.011016846,14.125,-10.9375,-44.25,upstairs
-0.25,7.803,4.554,0.84957886,-0.005142212,-0.011245728,24.4375,-13.125,-40.3125,upstairs
0.032,9.703,-1.016,0.3021698,-0.06636047,-0.17393494,26.3125,-34.8125,-21.1875,upstairs
0.496,8.765,4.774,-1.0175934,0.1335144,0.3695526,31,-23.5625,-24.6875,upstairs
0.271,8.377,4.037,0.85894775,-0.123428345,-0.31507874,30.3125,-27.8125,-13.1875,upstairs
0.08,9.722,-0.609,0.10127258,0.21540833,0.018692017,30.375,-30.4375,6.875,upstairs
-0.542,8.31,4.765,-1.0825806,-0.35185242,0.40653992,25.3125,-32.4375,-10.1875,upstairs
-0.131,9.086,2.166,1.4361267,-0.74450684,-0.53378296,22.75,-35.75,-4.5,upstairs
0.31,10.253,-0.905,0.23156738,-0.19187927,0.011352539,25.25,-34.4375,11.625,upstairs
0.739,6.784,6.081,-1.3356323,-0.26004028,0.8417816,21.5625,-39.4375,-16.875,upstairs
-0.38,8.387,1.577,1.033905,-0.56910706,-0.20706177,26.125,-43.1875,-3.375,upstairs
-2.375,13.259,-1.106,0.2823639,-0.056884766,-0.47383118,30.375,-41.75,12.8125,upstairs
-0.159,5.649,6.631,-1.4812775,0.4524231,0.7387848,28.8125,-38.625,-26,upstairs
0.147,9.157,0.974,0.9172363,-0.37771606,0.016906738,30.0625,-49.5625,-4,upstairs
-0.806,10.359,-1.193,0.18960571,0.04273987,0.049179077,31.25,-50.125,8.9375,upstairs
0.482,6.123,6.535,-1.3240509,0.51161194,0.6301422,21,-45.5625,-32.125,upstairs
2.462,8.851,0.213,1.2893677,-0.84661865,0.08100891,14.4375,-59.3125,-10,upstairs
1.438,9.411,2.219,-0.73194885,-0.77767944,0.002532959,-6.1875,-57.625,-24.9375,upstairs
5.76,6.319,1.726,1.3161621,-0.13537598,0.4861908,-10.8125,-55.125,-24.9375,upstairs
1.366,10.349,0.697,0.9348297,0.056488037,-0.33117676,-26.125,-27.6875,-27.5625,upstairs
0.792,9.593,-0.283,-0.08921814,-0.40013123,-0.33821106,-32.0625,-36.125,-9.125,upstairs
1.405,10.091,-0.149,0.8721466,0.69932556,0.13865662,-28.0625,-30.6875,-30.1875,upstairs
1.137,9.038,1.314,-0.2635193,0.28186035,-0.4912262,-17.8125,-34.1875,-30.6875,upstairs
1.175,7.449,6.861,0.18481445,0.06762695,0.14276123,3.0625,-1.3125,-46.75,upstairs
1.711,10.019,-0.925,0.61761475,-0.19680786,-0.10227966,-12.6875,-27.4375,-35.6875,upstairs
-0.552,9.421,1.128,-0.6290436,0.29904175,-0.30160522,-11.125,-27.3125,-35.25,upstairs
1.256,6.827,7.675,-0.006530762,0.21635437,0.14663696,5.5,-1.0625,-44.6875,upstairs
2.759,9.469,-0.57,0.44519043,-0.21572876,0.18240356,-14.375,-27.6875,-33.5625,upstairs
1.467,11.938,-0.551,-0.16822815,0.12986755,-0.05857849,-12.375,-30.5625,-31.875,upstairs
2.477,9.54,8.617,-0.5280304,0.37147522,0.2011261,1.875,3.0625,-46.125,upstairs
1.668,9.062,2.109,1.0046692,-1.0181885,-0.3502655,-15.9375,-17.8125,-41.0625,upstairs
1.835,9.631,-0.972,0.19215393,0.050048828,-0.056900024,-17.0625,-32.9375,-29.6875,upstairs
1.079,7.64,5.43,-0.9680023,0.16156006,0.32055664,-7,-7,-47.125,upstairs
1.28,9.172,3.879,1.468277,-0.32824707,-0.35603333,1.8125,-12.5625,-47.125,upstairs
1.677,9.626,-0.795,0.18173218,0.05567932,0.07366943,-4.1875,-34.8125,-32.9375,upstairs
2.079,9.55,-1.197,0.061019897,0.10147095,-0.028427124,-0.3125,-39.3125,-27.75,upstairs
0.892,9.033,2.539,-0.74154663,0.3542328,-0.32351685,16.3125,-28.4375,-34.8125,upstairs
1.687,7.2,6.617,0.039138794,0.3113098,0.317688,25.0625,-24.3125,-32.1875,upstairs
0.663,8.99,0.797,0.43258667,-0.21308899,0.10958862,26.375,-33,-18.9375,upstairs
1.917,9.564,-0.862,0.03277588,-0.1293335,0.118118286,25.75,-34,2.625,upstairs
-0.002,8.172,1.094,-0.6874237,0.4207306,-0.095840454,29.625,-29.6875,3.5625,upstairs
0.577,4.252,6.019,-0.005966187,0.11273193,0.2741089,16.9375,-32.5,-7.9375,upstairs
1.807,8.98,2.334,0.5912781,-0.12860107,-0.11291504,17.1875,-32.75,2.9375,upstairs
1.338,9.789,-0.771,0.040649414,0.014434814,0.12173462,20,-30.25,15.3125,upstairs
-0.408,9.99,-0.178,-0.18878174,0.2737732,-0.65034485,21.6875,-30.75,17.3125,upstairs
1.204,6.631,5.999,-0.8597717,-0.009780884,0.4714203,13.4375,-34.75,-8.125,upstairs
1.668,8.588,6.224,0.3168335,0.24313354,0.053207397,11.25,-36.75,-5.375,upstairs
2.204,9.555,-0.599,0.37234497,0.06236267,0.23374939,14.25,-38.6875,18.5,upstairs
1.553,11.608,-1.145,0.108688354,-0.017822266,-0.22903442,19.75,-37.625,19.6875,upstairs
0.653,6.501,6.545,-0.8860321,0.29412842,0.39511108,17.1875,-37.3125,-14.4375,upstairs
1.299,8.942,5.942,0.31744385,-0.06347656,-0.01550293,12.5625,-43,-9.75,upstairs
1.51,9.579,-0.36,0.45855713,0.20387268,0.1116333,20.25,-46.1875,13.875,upstairs
0.185,12.407,-0.929,0.026733398,0.26208496,-0.2989502,23.625,-45,21.4375,upstairs
1.199,6.607,6.354,-1.1102905,-0.0836792,0.36999512,17.1875,-43.8125,-19,upstairs
0.658,8.373,4.214,0.4202881,-0.18684387,-0.1859436,15.8125,-47.875,-17,upstairs
2.338,9.402,-0.192,0.15010071,-0.26446533,0.37609863,13.9375,-55.4375,4.5,upstairs
0.281,8.502,-0.006,-0.5764618,-0.38435364,-0.414917,19.0625,-50.25,-12.5,upstairs
3.86,8.219,2.783,-0.089416504,-0.4106903,-0.49909973,-16.5,-45.125,-24.875,upstairs
3.367,9.052,2.348,-1.2495728,-1.608841,-0.62442017,-33.3125,-40.875,-21.9375,upstairs
4.013,8.392,2.592,-0.20365906,-0.17663574,-0.18061829,-45.875,-33,-21.6875,upstairs
